X,Y,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
-70.7517433613069,-33.4365453311502,"8731 SAN FRANCISCO, PUDAHUEL",0,0,0,1,1
-70.7532179196502,-33.5108420230576,"PRIMERA TRANSVERSAL & ESQUINA BLANCA, MAIPU",0,1,0,0,1
-70.7531916665687,-33.5106079273497,"PRIMERA TRANSVERSAL & 5 DE ABRIL, MAIPU",0,0,0,1,1
-70.7521642622249,-33.460148662883,"LA ESTRELLA & LAGUNA SUR, PUDAHUEL",0,1,0,1,2
-70.7515579871589,-33.4321381095152,"OLMUE & SAN DANIEL, PUDAHUEL",0,1,0,0,1
-70.7528636644765,-33.508222806104,"2065 PRIMERA TRANSVERSAL, MAIPU",0,1,0,0,1
-70.75108084562,-33.4265897076294,"1436 LA ESTRELLA, CERRO NAVIA",0,0,0,1,1
-70.7525202712149,-33.5045393109764,"2387 PRIMERA TRANSVERSAL, MAIPU",0,0,0,1,1
-70.7516299088877,-33.4603275587874,"8424 LAGUNA SUR, PUDAHUEL",0,0,0,0,1
-70.7492777845076,-33.3554169369796,"LOS PIRINEOS & SANTA LAURA, QUILICURA",0,0,0,1,1
-70.7506367684978,-33.429112024708,"JOSE JOAQUIN PEREZ & LA ESTRELLA, PUDAHUEL",0,0,0,1,1
-70.7506035466757,-33.4322778417787,"LA ESTRELLA & SAN DANIEL, PUDAHUEL",0,0,0,0,1
-70.7510023725182,-33.455872491993,"LA TRAVESIA & LA ESTRELLA, PUDAHUEL",0,1,0,0,1
-70.7515681021842,-33.4882662773072,"LOS PAJARITOS & AMERICO VESPUCIO, MAIPU",1,1,1,2,5
-70.7498673800055,-33.4315036598681,"1382 CURICO, PUDAHUEL",0,0,0,1,1
-70.7512333442069,-33.5058470853065,"FELIX ALDAO & 1 SUR, MAIPU",0,1,1,0,1
-70.7497511395549,-33.4444642777469,"SAN PABLO & EL SALITRE, PUDAHUEL",1,2,0,3,4
-70.7495052658279,-33.4622152855229,"LAGUNA SAN RAFAEL & LAGUNA DEL INCA, PUDAHUEL",0,1,0,0,1
-70.7485925495947,-33.4258582826484,"1680 ROLANDO PETERSEN, CERRO NAVIA",0,1,0,0,1
-70.7491616927569,-33.4772441841812,"LONGITUDINAL & ERICK VAN DYCK, MAIPU",0,0,0,1,1
-70.7463800584543,-33.3604447964424,"LO MARCOLETA & SANTA LAURA, QUILICURA",0,0,0,1,1
-70.7480925950927,-33.4508003235071,"GENERAL OSCAR BONILLA & RUBLO RUSO, PUDAHUEL",0,1,0,0,1
-70.7486651894079,-33.4857371508816,"4134 LOS PAJARITOS, MAIPU",0,0,0,1,1
-70.7475139636207,-33.4364336716132,"8525 SAN FRANCISCO, PUDAHUEL",0,1,0,0,1
-70.7470177594334,-33.413282183345,"ROLANDO PETERSEN & COSTANERA SUR, CERRO NAVIA",0,0,0,3,2
-70.7486628988384,-33.5161278312698,"4 ALAMOS & LA MANSION, MAIPU",0,0,0,1,1
-70.7453628123789,-33.365473215351,"SAN LUIS & SAN ESTEBAN, QUILICURA",0,0,0,1,1
-70.7462392009359,-33.4103802951342,"THEMIS & VICUNA MACKENNA, RENCA",0,0,0,1,1
-70.7461232480734,-33.4088849193282,"NEMESIS & VICUNA MACKENNA, RENCA",0,0,0,2,1
